event_id,start_date,start_time,location,end_date,end_time,duration,volume,disinfection,reason_code,TBOD(mg/L),cBOD(mg/L),TSS(mg/L),TP(mg/L),EColi(CFU/100ml),final_effluent_pH,final_effluent_total_ci(mg/L)
1,2020-01-11,00:27,HCG03,2020-01-12,20:47,37.81,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
2,2020-01-11,11:21,S,2020-01-13,04:15,40.90,637.590,No,"1,7",35,n/a,75.0,1.00,996667,7.12,n/a
3,2020-01-11,15:01,HCS04,2020-01-13,23:37,56.60,127.121,No,"1,7",n/a,21,141,0.574,770000,n/a,n/a
4,2020-01-11,15:21,HCS01,2020-01-13,17:25,46.923,412.148,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,2020-01-11,14:01,DC011,2020-01-12,05:53,1.07,0.072,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,2020-01-12,1:20,HCS08,2020-01-12,06:00,4.67,5.341,No,"1,7",n/a,8,220,0.287,40000,n/a,n/a
7,2020-01-11,10:35,HCS05,2020-01-13,02:15,39.67,50.204,No,"1,7",n/a,19,57,0.916,883333,n/a,n/a
8,2020-01-12,02:20,DC012,2020-01-12,05:11,0.10,0.023,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
9,2020-01-11,17:21,HCS7C,2020-01-12,07:38,10.53,15.33,No,"1,7",n/a,9,134,0.462,295000,n/a,n/a
10,2020-01-12,04:45,HCS09,2020-01-12,05:42,0.95,0.258,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
11,2020-01-12,07:19,HC060,2020-01-12,08:56,1.62,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,2020-01-24,17:40,HCG03,2020-01-25,13:43,19.70,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
13,2020-01-24,20:53,S,2020-01-25,22:51,25.97,206.690,No,"1,7",50,n/a,70.0,1.33,1022500,6.98,n/a
14,2020-01-25,02:17,HCS01,2020-01-26,10:45,32.47,180.441,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
15,2020-01-25,02:45,HCS04,2020-01-25,23:35,20.83,51.093,No,"1,7",n/a,n/a*,n/a*,n/a*,340000,n/a,n/a
16,2020-01-25,00:00,HCS05,2020-01-25,21:05,21.08,1.394,No,"1,7",n/a,25,55.0,0.92,430000,n/a,n/a
17,2020-01-26,18:43,HCG03,2020-01-26,23:27,2.53,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
18,2020-02-02,11:12,HCG03,2020-02-02,14:13,3.02,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
19,2020-02-10,11:45,HCG03,2020-02-10,14:07,2.37,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
20,2020-02-18,10:36,HCG03,2020-02-18,14:16,3.67,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
21,2020-02-26,12:34,HCG03,2020-02-26,12:56,0.37,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
22,2020-03-02,09:45,HCG03,2020-03-02,14:07,4.37,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
23,2020-03-02,12:51,S,2020-03-02,19:21,6.50,24.119,No,"1,7",61,n/a,135,2.92,2600000,7.16,n/a
24,2020-03-03,11:51,HCG03,2020-03-03,17:54,4.26,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
25,2020-03-03,14:52,S,2020-03-04,1:50,10.97,75.387,No,"1,7",59,n/a,70.0,1.65,1470000,7.27,n/a
26,2020-03-03,15:10,HCS01,2020-03-04,05:44,14.57,96.861,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
27,2020-03-04,01:00,HCS04,2020-03-04,02:51,1.85,2.001,No,"1,7",n/a,n/a**,n/a**,n/a**,n/a**,n/a,n/a
28,2020-03-06,06:56,HCG03,2020-03-06,15:54,5.57,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
29,2020-03-10,05:05,HCG03,2020-03-10,11:05,5.26,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
30,2020-03-13,04:21,HCG03,2020-03-13,05:51,1.50,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
31,2020-03-18,21:30,HCG03,2020-03-18,23:30,2.00,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,2020-03-20,01:56,HCG03,2020-03-20,02:32,0.60,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
33,2020-03-23,09:31,HCG03,2020-03-23,15:41,4.75,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
34,2020-03-25,13:12,DC012,2020-03-25,13:13,0.02,0.005,No,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
35,2020-03-28,10:19,HCG03,2020-03-28,11:08,0.82,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
36,2020-03-29,03:28,HCG03,2020-03-29,10:11,5.59,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
37,2020-04-07,21:56,HCG03,2020-04-07,22:09,0.22,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
38,2020-04-09,01:25,HCG03,2020-04-09,07:55,5.48,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
39,2020-04-13,03:27,HCG03,2020-04-13,09:15,5.25,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
40,2020-04-19,11:27,HCG03,2020-04-19,12:03,0.60,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
41,2020-04-26,10:10,HCG03,2020-04-26,11:21,1.18,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
42,2020-04-30,07:53,HCG03,2020-04-30,19:48,3.17,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
43,2020-05-14,16:05,HCG03,2020-05-14,18:28,1.2,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
44,2020-05-15,08:37,HCG03,2020-05-15,09:54,1.28,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
45,2020-05-17,15:51,HCG03,2020-05-18,21.41,15.16,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
46,2020-05-18,09:28,S,2020-05-19,00:16,11.95,56.340,Yes,"1,7",37,n/a,48.3,1.10,936667,7.05,0.00
47,2020-05-28,12:57,HCG03,2020-05-28,16:17,1.97,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
48,2020-05-29,10:14,HCG03,2020-05-29,16:55,1.94,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
49,2020-06-03,06:00,HCG03,2020-06-03,06:58,0.97,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
50,2020-06-10,05:17,HCG03,2020-06-11,01:06,4.03,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
51,2020-06-10,23:47,S,2020-06-11,02:40,2.88,26.510,Yes,"1,7",77,n/a,97.0,1.67,1990000,6.90,0.00
52,2020-06-22,19:50,HCG03,2020-06-22,20:50,1.00,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
53,2020-06-22,20:16,HCG14,2020-06-23,23:54,19:48,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
54,2020-06-23,13:28,HCG03,2020-06-23,14:22,0.90,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
56,2020-06-27,04:15,HCG03,2020-06-27,05:40,1.42,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
57,2020-06-27,05:09,HCG14,2020-06-27,05:19,0.17,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
58,2020-07-10,19:53,HCG03,2020-07-11,00:06,2.38,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
59,2020-07-10,20:06,HCG14,2020-07-11,01:17,4.33,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
60,2020-07-10,21:24,S,2020-07-11,02:25,5.02,43.010,Yes,"1,7",65,n/a,88.4,1.94,540000,7.05,0.00
61,2020-07-16,15:20,HCG03,2020-07-16,15:30,0.17,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
62,2020-07-19,12:49,HCG03,2020-07-19,13:17,0.47,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
63,2020-07-19,13:09,HCG14,2020-07-19,13:38,0.48,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,2020-08-02,00:35,HCG03,2020-08-02,09:45,2.76,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
65,2020-08-02,07:04,HCG14,2020-08-02,09:57,1.35,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
66,2020-08-03,16:47,HCG03,2020-08-03,17:45,0.97,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
67,2020-08-03,16:53,HCG14,2020-08-03,22:52,2.62,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
68,2020-08-04,18:58,HCG03,2020-08-04,20:22,1.40,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
69,2020-08-04,19:15,HCG14,2020-08-05,02:04,6.82,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
70,2020-08-04,19:16,HC015,2020-08-04,19:45,0.07,n/a,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
71,2020-08-04,19:30,HC001,2020-08-04,20:00,0.50,1.080,No,"1,7",n/a,n/a,n/a,n/a,n/a,n/a,n/a
72,2020-08-04,19:54,S,2020-08-05,02:40,6.77,54.665,Yes,"1,7",54,n/a,62.0,1.72,2600000,7.08,0.02
